,Nash
829,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.16364926, 0.83635074], [0.66056501, 0.0, 0.33943499]), ([0.21275067, 0.13917728, 0.64807204], [0.39608385, 0.41090667, 0.19300948]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.16364926, 0.83635074], [0.66056501, 0.0, 0.33943499]), ([0.21275067, 0.13917728, 0.64807204], [0.39608385, 0.41090667, 0.19300948]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.16364926, 0.83635074], [0.66056501, 0.0, 0.33943499]), ([0.21275067, 0.13917728, 0.64807204], [0.39608385, 0.41090667, 0.19300948]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
830,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.04285668, 0.95714332, 0.0], [0.01378834, 0.98621166, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.04285668, 0.95714332, 0.0], [0.01378834, 0.98621166, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.04285668, 0.95714332, 0.0], [0.01378834, 0.98621166, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
831,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
832,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
833,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
834,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
835,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
836,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
837,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
838,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
839,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
840,"[([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711]), ([0.0, 0.14812792, 0.85187208], [0.72706289, 0.0, 0.27293711])]"
841,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.63224506, 0.0, 0.36775494], [0.0, 0.79357722, 0.20642278]), ([0.0, 0.48513934, 0.51486066], [0.05010124, 0.94989876, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.63224506, 0.0, 0.36775494], [0.0, 0.79357722, 0.20642278]), ([0.0, 0.48513934, 0.51486066], [0.05010124, 0.94989876, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.63224506, 0.0, 0.36775494], [0.0, 0.79357722, 0.20642278]), ([0.0, 0.48513934, 0.51486066], [0.05010124, 0.94989876, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
842,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
843,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
844,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.97707143, 0.02292857, 0.0], [0.60234266, 0.0, 0.39765734]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.97707143, 0.02292857, 0.0], [0.60234266, 0.0, 0.39765734]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.97707143, 0.02292857, 0.0], [0.60234266, 0.0, 0.39765734]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
845,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
846,"[([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0]), ([0.08149777, -0.0, 0.91850223], [0.00582209, 0.99417791, 0.0])]"
847,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.28665307, 0.71334693, 0.0], [0.0, 0.52626526, 0.47373474]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.28665307, 0.71334693, 0.0], [0.0, 0.52626526, 0.47373474]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.28665307, 0.71334693, 0.0], [0.0, 0.52626526, 0.47373474]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
848,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.56298037, 0.0, 0.43701963], [0.88181552, 0.0, 0.11818448]), ([0.0, 0.14485362, 0.85514638], [0.87304338, 0.0, 0.12695662]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.56298037, 0.0, 0.43701963], [0.88181552, 0.0, 0.11818448]), ([0.0, 0.14485362, 0.85514638], [0.87304338, 0.0, 0.12695662]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.56298037, 0.0, 0.43701963], [0.88181552, 0.0, 0.11818448]), ([0.0, 0.14485362, 0.85514638], [0.87304338, 0.0, 0.12695662]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
849,"[([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0]), ([0.0, 0.63327741, 0.36672259], [0.03696445, 0.96303555, 0.0])]"
850,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.74318154, 0.25681846, 0.0], [0.0, 0.51192935, 0.48807065]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.74318154, 0.25681846, 0.0], [0.0, 0.51192935, 0.48807065]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.74318154, 0.25681846, 0.0], [0.0, 0.51192935, 0.48807065]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
851,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
852,"[([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0]), ([0.07039639, 0.92960361, 0.0], [0.48112867, 0.51887133, 0.0])]"
853,"[([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773]), ([0.33721009, 0.0, 0.66278991], [0.0, 0.68151227, 0.31848773])]"
854,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
855,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
856,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
857,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.69366665, 0.0, 0.30633335], [0.18626142, 0.81373858, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.69366665, 0.0, 0.30633335], [0.18626142, 0.81373858, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.69366665, 0.0, 0.30633335], [0.18626142, 0.81373858, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
858,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.60926114, 0.0, 0.39073886], [0.0, 0.83104517, 0.16895483]), ([0.0, 0.86397576, 0.13602424], [0.0, 0.33332154, 0.66667846]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.60926114, 0.0, 0.39073886], [0.0, 0.83104517, 0.16895483]), ([0.0, 0.86397576, 0.13602424], [0.0, 0.33332154, 0.66667846]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.60926114, 0.0, 0.39073886], [0.0, 0.83104517, 0.16895483]), ([0.0, 0.86397576, 0.13602424], [0.0, 0.33332154, 0.66667846]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
859,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
860,"[([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241]), ([0.17063431, 0.82936569, 0.0], [0.58990759, 0.0, 0.41009241])]"
861,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
862,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
863,"[([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992]), ([0.53625791, 0.0, 0.46374209], [0.0, 0.50188008, 0.49811992])]"
864,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
865,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
866,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.52784942, 0.47215058, 0.0], [0.0, 0.38352809, 0.61647191]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.52784942, 0.47215058, 0.0], [0.0, 0.38352809, 0.61647191]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.52784942, 0.47215058, 0.0], [0.0, 0.38352809, 0.61647191]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
867,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
868,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
