,MSE,PayoffLoss,loss,val_MSE,val_PayoffLoss,val_loss
140,0.004833760671317577,0.0016563934041187167,0.028996220341850728,0.005737257655709982,0.001959139946848154,0.03445422656746472
141,0.0048744031228125095,0.001672322046943009,0.02924506538580446,0.004955038893967867,0.0016869569662958384,0.02971238283690284
142,0.004897464532405138,0.0016730643110349774,0.029383609939147445,0.005679934285581112,0.0019417495932430029,0.0341314716963207
143,0.004870973527431488,0.0016659947577863932,0.02921916961810168,0.0055219074711203575,0.0018842762801796198,0.03317795143144972
144,0.004776612855494022,0.001628419733606279,0.028659460107543888,0.005360072478652,0.0018272192683070898,0.03217197269201279
145,0.004803260322660208,0.0016433376586064696,0.02882356537440244,0.005413702689111233,0.00182556570507586,0.032481301875675425
146,0.004865669179707766,0.0016621651593595743,0.02919975698642871,0.005755425896495581,0.001974624814465642,0.03456535880600705
147,0.00478435680270195,0.0016346522606909275,0.028713242166182575,0.005082170478999615,0.001713649253360927,0.030437580130030128
148,0.0047550867311656475,0.0016239641699939966,0.028520726921979118,0.005318081937730312,0.0018208252731710672,0.03191076851767652
149,0.004736471921205521,0.001614317880012095,0.028420253795911284,0.005028212908655405,0.0017177677946165204,0.030131793318075292
150,0.004737372975796461,0.0016171700553968549,0.028418527147699806,0.005394200328737497,0.0018216042080894113,0.03241837401363779
151,0.00478727463632822,0.0016300167189911008,0.028726877845210188,0.004971393384039402,0.0016922950744628906,0.02977438818847432
152,0.004817437380552292,0.0016475730808451772,0.02890509491668028,0.005721862427890301,0.0019472668645903468,0.03429149633540827
153,0.00468977726995945,0.0016026294324547052,0.028142204950311604,0.005608591716736555,0.001950184698216617,0.03365338988865123
154,0.00480680400505662,0.0016451693372800946,0.028847766371509608,0.005140356253832579,0.0017487775767222047,0.03089611896337832
155,0.004750443156808615,0.0016225402941927314,0.028500284587285096,0.00599625101312995,0.0020625393372029066,0.03599753566454439
156,0.004721377976238728,0.0016108636045828462,0.02833024885829757,0.005158663261681795,0.0017557679675519466,0.03094567079333698
157,0.004738814663141966,0.0016224865103140473,0.028438935126627193,0.0049394266679883,0.0016830676468089223,0.029598478292717653
158,0.004770276602357626,0.0016258691903203726,0.028615436167576735,0.005489479750394821,0.0018885001773014665,0.03285490759996807
159,0.0047592283226549625,0.0016278972616419196,0.02856123277001521,0.004856600891798735,0.0016476885648444295,0.029153713528198354
160,0.004751890432089567,0.0016235628863796592,0.028508332206922418,0.004964824765920639,0.001705366768874228,0.029821919500827788
161,0.004743647295981646,0.0016209607711061835,0.02844788510413731,0.005921193398535252,0.0020228277426213026,0.03546907212383607
162,0.004761913325637579,0.0016307008918374777,0.028572446322967026,0.005160139407962561,0.0017625839682295918,0.03099182775055661
163,0.004705188795924187,0.0016053515719249845,0.028232142537656952,0.005083373747766018,0.0017589647322893143,0.03047641287060345
164,0.004645471461117268,0.0015944218030199409,0.02786564692784758,0.005521976388990879,0.0018737128702923656,0.03316096305058283
165,0.004750044550746679,0.0016259340336546302,0.02850123079349013,0.00584615021944046,0.002023294335231185,0.035100309279561044
166,0.004719989839941263,0.001610808540135622,0.02832240426838398,0.004898428916931152,0.0016595853958278894,0.029372485603655085
167,0.004788895137608051,0.0016324609750881791,0.028732605246936573,0.005157532170414925,0.0017806668765842915,0.03097345561911078
168,0.004652469884604216,0.001591023989021778,0.027914142053968766,0.005481509026139975,0.001860226970165968,0.03293957663958563
169,0.004842311609536409,0.0016578062204644084,0.029050656664722105,0.005530505906790495,0.0018854780355468392,0.03314731331362444
170,0.0047541228123009205,0.0016301610739901662,0.02852616465179359,0.005479729734361172,0.001857792492955923,0.032914960236233824
